"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G29350",14247.2067547056,7.69668398179227,0.354224819288543,21.7282459124434,1.10960379922764e-104,1.35729202507745e-101
"AT5G48400",626.934667482925,5.95008110338804,0.275047776531669,21.6329002125307,8.80686619084866e-104,1.0205767357374e-100
"AT5G67340",1145.68461121243,4.76700353866361,0.220827944895299,21.5869578504831,2.38184341554704e-103,2.62217141617573e-100
"AT3G26230",728.107538529729,3.28871409575336,0.153521663631542,21.421824242645,8.36480950054713e-102,8.7703035991927e-99
"AT5G61010",2149.85468543297,2.77914559970225,0.130293110985819,21.3299504377076,5.98712888596332e-101,5.99202744596093e-98
"AT2G39210",3305.02586199194,4.82612315131624,0.227113632931234,21.2498170586594,3.3095251011485e-100,3.16822276856903e-97
"AT3G09940",561.105766804179,5.1086970696936,0.2417833740388,21.129232272496,4.28456757154885e-99,3.93073369959844e-96
"AT1G74590",1072.51834174184,4.92850514202329,0.235461052081436,20.9312966983547,2.77834892105977e-97,2.44694746175576e-94
"AT5G09290",349.318520130277,6.13574278115679,0.295909721263833,20.7351848900097,1.66812754707641e-95,1.41264739736648e-92
"AT2G29120",893.281544227205,3.16070939763574,0.153342936388728,20.612031255377,2.14057858237605e-94,1.74560219358355e-91
"AT1G36622",748.036259884984,5.96496978405074,0.291131921678588,20.4888895372872,2.7049250384171e-93,2.12703712485242e-90
"AT5G53110",600.394286058338,6.36143431075666,0.312571947262967,20.351904150262,4.46585892089589e-92,3.39066488690641e-89
"AT2G27660",624.64548641056,5.67553074648303,0.27916360098592,20.3304826504559,6.91192729824988e-92,5.07289384176219e-89
"AT5G13320",1727.22470751794,5.43897646711988,0.27125676771842,20.0510258706829,1.97725666301678e-89,1.40436249052592e-86
"AT5G13080",651.282742600878,6.76611533110071,0.338814547039243,19.9699670224521,1.00519735847172e-88,6.91638607463451e-86
"AT1G66700",680.07591387427,7.24378849786503,0.364247171461454,19.8870137242276,5.27226338156107e-88,3.51771803440035e-85
"AT4G04490",1178.55624912562,5.23159181610155,0.263120964410066,19.8828391642267,5.72979332016617e-88,3.69161862501176e-85
"AT4G20110",1454.06507720607,4.20703779050746,0.211604147600008,19.8816414433424,5.8682283529572e-88,3.69161862501176e-85
"AT2G45220",4229.99324307495,6.78782241250216,0.342274285798984,19.8315289641379,1.59128437729171e-87,9.73247206089137e-85
"AT4G23215",510.383460254671,5.69498928199788,0.28778765766858,19.788858661049,3.71356215904486e-87,2.20987058426621e-84
"AT2G43000",532.768687049742,6.11028950198776,0.309645985995247,19.7331461680293,1.11979568161032e-86,6.48833192570948e-84
"AT4G23310",465.131365497466,7.21424222781965,0.366218424605007,19.6992880289972,2.18673422951856e-86,1.23455164783435e-83
"AT3G45860",2909.3398301052,4.60630136833382,0.236847733430401,19.4483658408638,3.00867532391457e-84,1.65612533204877e-81
"AT5G48657",977.627832028478,4.59099143702518,0.236648618940301,19.4000347755392,7.71192132434723e-84,4.14148984681652e-81
"AT2G30750",528.861205286977,5.22893587149627,0.270489644091509,19.3313717760199,2.92535686337937e-83,1.53358350994969e-80
"AT1G26420",666.386509517814,5.95671311639223,0.308233517500292,19.3253256968934,3.28901576317566e-83,1.6841290482233e-80
"AT5G02490",2887.09951518646,4.88103559427964,0.253293451055104,19.2702794878726,9.5419377132214e-83,4.77487237658429e-80
"AT5G43910",431.831114241089,3.17904703094817,0.165896963980643,19.1627800453244,7.57188431910342e-82,3.70483886528931e-79
"AT2G29460",1421.36093610332,5.85216408481166,0.306414690104645,19.0988365564754,2.58176147361608e-81,1.23576574187128e-78
"AT4G36990",3316.16847883605,4.29656808299184,0.225534083744983,19.0506375428828,6.49068821500569e-81,3.04068027910628e-78
"AT3G46080",1065.37052774379,6.89312662146989,0.36544266945081,18.8624022253037,2.32416383760341e-79,1.06611332034066e-76
"AT4G39670",721.365677899733,5.41088801865125,0.28697854827977,18.8546776443244,2.68973315091e-79,1.20862335748442e-76
"AT1G13340",1683.27678527337,6.16895411264939,0.327584646705094,18.8316338225795,4.15734414939363e-79,1.83072806962698e-76
"AT3G26440",863.302979342471,4.05244253310757,0.21699615735592,18.6751810837862,7.88221695611799e-78,3.40295397921188e-75
"AT2G43570",8715.07659571864,6.95291109194616,0.374133546875457,18.5840354333707,4.32709580242922e-77,1.83219221880551e-74
"AT1G68620",4545.34778325031,7.03539628937992,0.378617676466501,18.5817956389112,4.51153907884348e-77,1.87424655543351e-74
"AT1G15520",5768.35511364299,7.29611203897793,0.395676149424545,18.4396053428772,6.32008465933819e-76,2.57695600054275e-73
"AT4G11890",2955.52573006208,4.90954738365845,0.267653991978583,18.3428886950855,3.76261983055265e-75,1.5062793350747e-72
"AT3G51330",1264.41626113917,4.34517391889514,0.236985368060078,18.3351991494833,4.33426148518432e-75,1.70413873894265e-72
"AT3G22600",6906.24221588084,7.05862543093339,0.385735785115035,18.2991200280481,8.40962077068741e-75,3.24847421278939e-72
"AT2G19190",1519.24903005203,7.59513097154931,0.419283446850484,18.1145500224285,2.44664833809505e-73,9.28798329451323e-71
"AT4G18250",402.991493533338,5.10888942101606,0.283625658071414,18.0127900125654,1.54634273724733e-72,5.77074142181555e-70
"AT5G42830",799.597897535542,4.75459825633026,0.26417836589218,17.9976821352237,2.03144528070032e-72,7.45472703174326e-70
"AT2G30140",1569.80961478232,3.6459143553347,0.202990413997634,17.9610173876349,3.93528248030279e-72,1.42044343690667e-69
"AT2G04450",767.738964943734,3.9421460519816,0.219602546224537,17.9512766120246,4.68998144665289e-72,1.66554857245812e-69
"AT2G31865",1209.30964922334,4.04984152141202,0.227769170996289,17.7804638955199,1.00147928424853e-70,3.50009061596572e-68
"AT1G51800",566.457137005329,5.74794740321261,0.324311708063642,17.7235272742131,2.76047879311811e-70,9.49690969794913e-68
"AT1G66465",335.261727494255,5.30160078890398,0.301244314686039,17.5990069536396,2.50681166907882e-69,8.49153528150421e-67
"AT4G05020",709.051071785939,3.75304262380778,0.213576488885808,17.5723584716031,4.01143547179069e-69,1.33823918511951e-66
"AT1G66880",2681.8998750586,3.73236916574053,0.212418472279204,17.5708314144858,4.12088658291807e-69,1.35423404153269e-66
"AT1G33960",4682.3822631618,5.9041226979139,0.336052971746087,17.5690239167856,4.25429113614469e-69,1.37751444464167e-66
"AT4G28390",1122.76529756025,4.48133227518858,0.255475336565734,17.5411542085806,6.95013289081212e-69,2.21779747811451e-66
"AT1G13520",852.391136358306,6.87846780207998,0.393740362519586,17.4695521639284,2.44405561592061e-68,7.68760236447714e-66
"AT1G74360",1067.70744694541,4.79007504823722,0.274371725417794,17.4583406542465,2.97455318937661e-68,9.22446649629497e-66
"AT1G57630",788.127902077605,5.54451694991916,0.319307077001083,17.364215669734,1.53989761956223e-67,4.70909247048907e-65
"AT1G19250",596.077224214012,7.77980618507095,0.44919340033026,17.3195024222329,3.35243934751385e-67,1.01115081580219e-64
"AT2G38860",2405.87792220878,3.24204683117478,0.187444809140866,17.2960075343477,5.04138360499351e-67,1.50001600290199e-64
"AT4G23700",914.268289379172,6.55854990292016,0.379351237001692,17.2888586175637,5.70711377475851e-67,1.67545641456844e-64
"AT5G24200",814.121890474002,5.41252518914498,0.314195164886398,17.2266342516822,1.67625550761683e-66,4.85628865351412e-64
"AT5G60280",264.22850965877,2.97578077054952,0.173350223475325,17.1662932466487,4.74788820044959e-66,1.3576493817857e-63
"AT5G24530",6761.92344147531,4.33952468804525,0.253067613531195,17.1476888231308,6.54023420488793e-66,1.8461907272208e-63
"AT1G14880",34203.5384310331,6.16270903618443,0.359856025924171,17.125485172459,9.58073945785492e-66,2.67023697953227e-63
"AT4G38560",254.854173343458,4.93566862066987,0.288612633377553,17.1013602658661,1.44980584671036e-65,3.99022814160859e-63
"AT1G75170",620.719190448556,3.6511025967526,0.213923816748712,17.06730298778,2.59933470889179e-65,7.06569773091103e-63
"AT1G76980",568.94109241263,3.72215529526094,0.218684048217021,17.020698700287,5.76782402249543e-65,1.54873108935737e-62
"AT1G76970",1014.11533721039,3.48079799807537,0.205035379264689,16.9765725825388,1.22430311291566e-64,3.24779589640686e-62
"AT2G18680",227.733276208788,4.03674471054274,0.238393927551793,16.9330853012844,2.56571850753975e-64,6.72523691654884e-62
"AT4G21120",736.432563395476,5.67885897464696,0.33674509733048,16.8639692742839,8.28344991755627e-64,2.14570588570299e-61
"AT2G24850",3694.19157908262,5.51417118438349,0.328365458524465,16.7927869428223,2.75593889065629e-63,7.05584447610118e-61
"AT4G23160",148.976754000274,4.359319919443,0.259786193842875,16.7804141357859,3.39460522396441e-63,8.59108250818948e-61
"AT5G62770",775.591911036758,3.8603648666553,0.230799504428732,16.7260535338252,8.46656954153262e-63,2.11837418369847e-60
"AT1G24145",1184.20927995754,3.9439880166271,0.236135476078957,16.7022256973719,1.26265631405153e-62,3.12372659806592e-60
"AT3G18250",1101.59293108313,5.93967955155362,0.355675542085689,16.6997132181853,1.31696244266743e-62,3.22187545140572e-60
"AT3G01420",4768.97517480418,7.72596039928247,0.464772211001404,16.6231117446459,4.74068507549603e-62,1.14703740650848e-59
"AT3G60415",2523.95207074697,4.17805834739212,0.251381721879351,16.620374449489,4.96217316716072e-62,1.18757748689723e-59
"AT1G60730",653.054751326208,3.49679376691641,0.210950543527937,16.5763676567788,1.03286049386132e-61,2.44532498428371e-59
"AT3G28580",284.470240091559,4.83407097759227,0.291879731959386,16.5618590408494,1.31468410149204e-61,3.0794377177289e-59
"AT4G19370",309.269691962164,4.21392977465324,0.254991123338454,16.5257900725431,2.39283690970179e-61,5.54584032398043e-59
"AT5G38250",231.563546192905,6.13282682081004,0.371310907182879,16.5166891200142,2.7825995209414e-61,6.38200794292581e-59
"AT2G32680",1953.76335462581,4.9426424502623,0.300434311582938,16.4516576825741,8.16038731573432e-61,1.8523237929674e-58
"AT4G23470",3711.1480599427,2.37769261392495,0.145443199044667,16.347911965239,4.50142427200867e-60,1.01135060837844e-57
"AT3G48850",466.89738600831,7.69353920838609,0.470980370399635,16.3351589406115,5.54874914464353e-60,1.23406422895718e-57
"AT1G10340",999.786481221172,4.59261993208867,0.281765781824211,16.2994239483414,9.96266558899611e-60,2.19357970938516e-57
"AT1G21310",2156.32164802596,5.15677591414226,0.317147905903609,16.2598453849151,1.90217370403056e-59,4.14673867478663e-57
"AT1G76040",944.788955394492,3.75126879742558,0.230865995078984,16.2486848534891,2.28207483246126e-59,4.92614937854235e-57
"AT3G51440",500.15227439525,4.49012437350146,0.276857124454008,16.2182005695409,3.7502173617881e-59,8.01672678367479e-57
"AT1G14870",1855.10061996991,5.69109109758985,0.35093296578531,16.2170318905619,3.82224716632119e-59,8.09213827962116e-57
"AT3G47780",320.535478036452,3.49230865928544,0.215636315111106,16.1953642060987,5.43748319671492e-59,1.14021433357399e-56
"AT3G10320",305.791656756897,6.07706812787756,0.375378505219902,16.1891745088535,6.01298292186996e-59,1.24899866012955e-56
"AT1G61420",176.538934630786,3.53282129705717,0.218648628065139,16.1575278487669,1.00512352082042e-58,2.06829997022655e-56
"AT1G26390",3175.13816379988,7.19207878937349,0.44535306136628,16.1491621216417,1.1511470906554e-58,2.3468478372269e-56
"AT3G63380",923.350267997774,5.14807230516235,0.319422556683836,16.1168089023153,1.94391352228982e-58,3.92670531502544e-56
"AT2G29990",888.632238769758,3.18891847579344,0.198426222309784,16.0710537078859,4.07106911682987e-58,8.14879998312364e-56
"AT1G32350",674.701307862753,6.96181740986356,0.433235272706638,16.0693688821079,4.18323637091074e-58,8.29788274006421e-56
"AT2G30770",998.854316748762,6.74718304603483,0.419916644486872,16.0679104641821,4.28281311041504e-58,8.41955170224271e-56
"AT1G08050",852.36376174363,4.52199933120452,0.282450875224654,16.0098612815692,1.09052677467715e-57,2.12488659511873e-55
"AT1G79680",239.679505304068,4.62437109607258,0.289644233735313,15.9656936250231,2.21564799307552e-57,4.27931030802955e-55
"AT2G44240",977.484103389222,8.78002425373941,0.550629861670325,15.9454197182575,3.06573465944611e-57,5.86968223753778e-55
"AT5G01550",312.970888607335,5.58416445065876,0.35170276558569,15.8775107763497,9.07073108905075e-57,1.72171859585103e-54
"AT2G14610",23132.2451219191,6.62900707457741,0.42238769169715,15.6941293623924,1.65903189261902e-55,3.12209950527227e-53
"AT2G32160",808.065481960165,2.39771313103652,0.153990549537096,15.5705212965612,1.15462366444807e-54,2.15444947828963e-52
"AT3G14620",1772.05572233229,3.1173369944057,0.200631880034229,15.5375954901776,1.9309345122914e-54,3.57271563795226e-52
"AT1G34180",141.171548761793,4.26431064420683,0.274764074357513,15.5198988593329,2.54451722962349e-54,4.64942660061092e-52
"AT2G35980",2709.36345034113,8.01327904587324,0.51633174657798,15.5196326760493,2.55509409880062e-54,4.64942660061092e-52
"AT3G11080",209.178336411933,3.37862762156902,0.218057414230082,15.4942111622221,3.79591120327122e-54,6.85068630111686e-52
"AT5G51465",670.825652550103,6.55381049245481,0.423247729552887,15.4845733003179,4.40978640030343e-54,7.89387617576267e-52
"AT4G10500",2912.97018895314,7.11475368445217,0.46113489843992,15.4287903789592,1.04816332345331e-53,1.86116613353185e-51
"AT5G24110",512.012446185228,5.48005566602371,0.355269044318288,15.4250862935136,1.11006685461043e-53,1.95531616038499e-51
"AT2G26400",1107.53541533605,5.7170095381073,0.371152608073437,15.4033931427369,1.55301687426018e-53,2.71383536011593e-51
"AT4G23230",328.347410368539,3.61146708446585,0.234638466079997,15.3916241646183,1.86296700202734e-53,3.22982735831796e-51
"AT5G11210",333.966611796381,7.43008676172021,0.483271395672388,15.3745635025275,2.42471990970929e-53,4.17089710718588e-51
"AT1G01560",621.408375624966,4.00325784588809,0.260424999951306,15.3720182265014,2.52189216204702e-53,4.30442028092646e-51
"AT3G48640",164.764181284731,4.42230474814251,0.288050072612611,15.3525555749119,3.40504008052038e-53,5.76709019176137e-51
"AT5G19880",198.499010412042,6.67504007103926,0.434831283413192,15.3508736046859,3.49448666941042e-53,5.87340515168538e-51
"AT3G57260",11795.495641335,5.70701131926621,0.372207293766601,15.3328841611709,4.61052238281613e-53,7.69049104733678e-51
"AT3G51860",1515.66662826605,5.82704301076427,0.380087061093927,15.3308112988469,4.76003988988472e-53,7.88019235304374e-51
"AT1G09932",4759.84397492823,6.99586783900077,0.456705362461588,15.3181206397356,5.78665755301183e-53,9.50825567180705e-51
"AT3G25010",1676.24963971099,5.57910464619315,0.364279865691721,15.3154351136019,6.03069536331827e-53,9.83584077848457e-51
"AT3G28510",1694.77863466111,6.816647623644,0.445983006155173,15.2845456655634,9.6936652749991e-53,1.56937589724213e-50
"AT1G35230",1379.93151694651,5.05913855996398,0.331094161891763,15.2800596998079,1.03845546515639e-52,1.6689571118112e-50
"AT1G02920",13053.1809370062,4.20508177099825,0.275824613317991,15.2454914027209,1.76400797048233e-52,2.80855520701362e-50
"AT4G23140",2030.10741256484,5.30887731941453,0.348233678514558,15.2451576253633,1.77304557078251e-52,2.80855520701362e-50
"AT5G01850",610.438359712599,2.37420149691533,0.156177047128738,15.2019873634713,3.43053468479763e-52,5.39525090641958e-50
"AT4G35180",418.053817180161,5.96452627770669,0.392797210007921,15.1847470545588,4.46281431376715e-52,6.96895358585285e-50
"AT4G17670",214.514934772447,3.62069731019615,0.238814335231183,15.1611389102381,6.39506955592936e-52,9.91596066777835e-50
"AT1G73260",15111.7319654388,7.96686606476685,0.527111656915962,15.1141906278066,1.305654577382e-51,2.01034283110467e-49
"AT3G13610",326.703471261562,7.91865472015475,0.523975910765692,15.1126312440263,1.33692795259112e-51,2.04419997639939e-49
"AT5G02780",423.757437583454,6.6554382893772,0.441014559399059,15.0911985727776,1.85049988022357e-51,2.80995216294914e-49
"AT1G32940",906.093055281352,3.46985993386517,0.229986432658123,15.0872375111934,1.96498651478837e-51,2.9633611700418e-49
"AT2G42350",111.823213640172,4.82481137383888,0.319895434648383,15.0824639905916,2.11236241898091e-51,3.16394528851168e-49
"AT5G66640",229.340388464368,3.28175486534713,0.218659249382685,15.0085343959248,6.4558446462081e-51,9.60437752839256e-49
"AT3G09010",455.766494685283,2.90828654589781,0.193953073530417,14.9947948385655,7.94076805927485e-51,1.17342168543029e-48
"AT1G26380",662.25823375447,5.0131845887181,0.334937576806495,14.9675191315258,1.19703941378215e-50,1.75709425417702e-48
"AT3G11340",502.503782315127,6.80579829994847,0.4553234102074,14.9471741346408,1.62499839545338e-50,2.36948441530414e-48
"AT4G37150",449.768737835799,4.19070988150238,0.280413555708074,14.9447478418809,1.68527881849995e-50,2.44121506748236e-48
"AT3G22910",352.700697667849,5.77351414448538,0.387058069467679,14.9164029894163,2.57800993909908e-50,3.7099753489597e-48
"AT1G17745",995.084501179187,3.46021264356267,0.23198413869882,14.9157294243077,2.60415816446148e-50,3.72326977046187e-48
"AT1G33950",478.385513658605,8.83270099888913,0.592429758473201,14.9092797459274,2.86829855582241e-50,4.07446436142567e-48
"AT5G11920",406.205545866265,5.69783052742166,0.382413629430746,14.8996533829177,3.31293666071521e-50,4.67591278177099e-48
"AT3G47540",678.673710368151,3.47676290035662,0.234642361853867,14.8172856464934,1.13269845050019e-49,1.58851939382887e-47
"AT1G21390",485.691303831189,3.030738033543,0.204865645392363,14.7937836416568,1.6066250853832e-49,2.23890323607387e-47
"AT5G04930",3812.49310850158,2.57009309757305,0.173972488015928,14.7729858145027,2.18800963415005e-49,3.02991170595697e-47
"AT5G48410",249.210539731287,6.78884994522655,0.460087908408895,14.7555495833485,2.83373563136288e-49,3.89957444570925e-47
"AT1G61800",716.230846857789,5.84621818707622,0.396511179153736,14.7441446658671,3.35544001636452e-49,4.58882473790771e-47
"AT4G23320",202.249606321635,4.35376796223333,0.295408448151676,14.7381294931616,3.6680411798233e-49,4.98536609242898e-47
"AT2G25440",281.275216470352,6.7861094396413,0.461015555636103,14.7199142342993,4.80269045400794e-49,6.48746247953049e-47
"AT2G04070",113.469747996951,4.55162307160717,0.310121531341797,14.6769011874595,9.06389975338666e-49,1.21688380957358e-46
"AT5G10380",1968.43382597878,3.87921127223209,0.26495866554897,14.6408167636062,1.54204594244505e-48,2.05774348853062e-46
"AT3G26210",2537.13393898285,4.71065063924764,0.321852655186491,14.6360471580331,1.65409241814245e-48,2.19396426883497e-46
"AT1G63720",423.204046701576,3.75717358052261,0.256886985870777,14.6257840496933,1.92342260147127e-48,2.5359232837841e-46
"AT1G67520",292.334437392829,4.76395603562977,0.325943790133952,14.6158821853055,2.2245413541149e-48,2.91547330564892e-46
"AT1G64610",641.751123219075,2.63318753893649,0.180711786353875,14.5711997654658,4.2830234861847e-48,5.58009533247424e-46
"AT2G29110",259.95483754395,5.68118612370211,0.390207526022867,14.5593965898269,5.09051422557337e-48,6.59311424815732e-46
"AT5G55130",418.55812997616,1.1386446690963,0.0783618670196415,14.5305964801846,7.75422709372015e-48,9.98436094441697e-46
"AT3G15536",1039.27026734523,6.405765049982,0.441364213057416,14.5135578745907,9.94267888082687e-48,1.27277850929097e-45
"AT4G37010",422.346878256501,5.13206558919075,0.35363666089899,14.5122555340964,1.01332909758353e-47,1.28968092893608e-45
"AT4G21903",115.41114407052,3.66647714658124,0.252812399409454,14.5027583898012,1.16377553610044e-47,1.47264423872756e-45
"AT3G54420",116.834137254389,3.773699105098,0.260814236041232,14.468915356681,1.90451747019912e-47,2.39620946621967e-45
"AT3G10815",206.312500143995,5.64306398773713,0.391240525693435,14.4235160141842,3.68102262898516e-47,4.60504296846563e-45
"AT5G25910",209.078705173213,5.33413647555728,0.369925036994104,14.4195065002921,3.9012197603266e-47,4.85294105552944e-45
"AT1G44130",374.978052616422,7.45792071314197,0.519709831478596,14.3501628436081,1.06287374376085e-46,1.31473899382732e-44
"AT1G77660",389.04339767466,2.55431702537111,0.178212216286156,14.3330074593182,1.36096847949783e-46,1.67406726154097e-44
"AT5G39090",167.464225645605,3.64688147976475,0.254723527497767,14.3170185949812,1.71316541857564e-46,2.09558201034436e-44
"AT3G09520",136.939241327847,4.06979495698743,0.284794212799444,14.2903007648313,2.51520825327652e-46,3.05966051495262e-44
"AT5G64810",387.435139286758,5.03844740080786,0.353628480857006,14.2478552309965,4.62261408401214e-46,5.59234708251534e-44
"AT4G39830",492.191506529025,4.68016431858562,0.328753979104102,14.2360689636052,5.47197463522041e-46,6.58371243269306e-44
"AT4G20000",250.362674615367,5.73357544913672,0.4033166939812,14.2160627980452,7.28371702055713e-46,8.71591746514276e-44
"AT3G52430",1941.99911227,2.58473070601719,0.182037156272137,14.1989182810192,9.30374426589017e-46,1.10729643916957e-43
"AT3G09960",152.356670348579,6.28975955481168,0.443099530824637,14.1949135967398,9.85077806710578e-46,1.16609909398675e-43
"AT2G01650",736.828896017805,1.87751462563848,0.132286856769986,14.1927525642476,1.01591477360385e-45,1.19617173717699e-43
"AT1G53625",720.066962934062,5.53248471047735,0.390157147546237,14.1801444501839,1.21596006972949e-45,1.42409621357999e-43
"AT3G14470",346.09669619947,2.55160813349383,0.180051454931494,14.1715496520962,1.37433901360666e-45,1.60106859267679e-43
"AT5G22540",128.520537843445,4.25592834649741,0.300338104527627,14.1704575021912,1.39588144868965e-45,1.6176061966973e-43
"AT2G45570",598.195427347899,6.07918256881706,0.430398408755444,14.1245470363049,2.68118265157771e-45,3.09079998023236e-43
"AT1G66960",685.591646422125,7.51979325561284,0.534379979283863,14.0719966075269,5.64527583128141e-45,6.47383766943511e-43
"AT1G01680",600.299133479065,5.58096825000824,0.396749770907622,14.0667207878683,6.08251187857957e-45,6.93910603847487e-43
"AT2G46150",122.343511330945,4.69672830477537,0.334343952086678,14.047594626619,7.96952090154967e-45,9.04499542321241e-43
"AT5G39050",1544.72048424085,3.01848703954527,0.214988522342388,14.0402241322356,8.84325091460954e-45,9.98516403271142e-43
"AT2G34500",486.736012360859,5.94946413891254,0.424700157040794,14.0086224134386,1.38056982561237e-44,1.5508870622619e-42
"AT3G12220",135.931994353875,4.14032724786049,0.296095943307796,13.9830596853418,1.9779806944237e-44,2.21071974263051e-42
"AT1G16420",128.924125641583,5.48818768065643,0.39288790245344,13.9688385577279,2.41533407329013e-44,2.68590028412637e-42
"AT2G42950",203.731575937251,1.81869840324613,0.130328236668949,13.9547533959649,2.94317963738651e-44,3.25642860582795e-42
"AT3G53150",236.573861501197,7.44680356261655,0.534097424552058,13.9427812610445,3.481059564784e-44,3.83229847487071e-42
"AT1G69520",96.2199521845611,2.90576784500574,0.208568605690438,13.9319522005078,4.05128650890498e-44,4.43787195786418e-42
"AT1G58340",764.459607836779,5.76080193457459,0.414350978652034,13.9031937448673,6.05768630428641e-44,6.60287807167219e-42
"AT5G62480",173.154257809484,5.25230192460545,0.377914628484147,13.8981175343039,6.50292500507861e-44,7.05327107201088e-42
"AT2G47130",904.759634483829,4.27167250507544,0.30743742210783,13.8944454965447,6.84515651760174e-44,7.38807138257623e-42
"AT2G04100",593.37173784884,5.10098054568595,0.367279807470253,13.8885406764408,7.43344092556501e-44,7.98387816093123e-42
"AT5G57010",128.518948780879,4.65140175574716,0.33493581064828,13.8874423333361,7.54828911215026e-44,8.06787522676332e-42
"AT1G33030",244.79095929414,5.48004478075456,0.395422961357424,13.8586913666886,1.12710382214698e-43,1.19886821043634e-41
"AT5G66690",987.431724265777,8.51023833308851,0.614225346624014,13.8552379511259,1.18264315912089e-43,1.25189601334248e-41
"AT4G21840",450.504567548536,6.07893242702721,0.438901340682269,13.8503391618206,1.26612851371334e-43,1.33385730215025e-41
"AT5G44480",308.888137430601,5.79006807039208,0.418300863137692,13.8418745468526,1.42442882893894e-43,1.49347971217036e-41
"AT5G44567",160.040905592822,5.80239391063423,0.419222128327099,13.8408579093585,1.444719615731e-43,1.50757518953389e-41
"AT4G14630",1502.45995603635,8.37423089576755,0.606532072843745,13.8067404358432,2.32098395380123e-43,2.4105389006979e-41
"AT1G07620",424.640012655217,4.10635062573002,0.297819590800643,13.7880473701905,3.00791683006862e-43,3.10931045842493e-41
"AT3G00850",260.238486402855,4.1760861488662,0.303514398217355,13.7591039284917,4.49058159261119e-43,4.61005289965205e-41
"AT1G67000",165.135731183098,3.93585122954626,0.286058010514524,13.7589268081217,4.50159584624031e-43,4.61005289965205e-41
"AT4G02380",1702.0842000972,3.58273751546144,0.260465343185005,13.7551409782632,4.74355148793897e-43,4.82622272104203e-41
"AT4G26120",179.500156947018,3.83380971569366,0.278722315670015,13.7549435411285,4.75651889574948e-43,4.82622272104203e-41
"AT4G11650",1791.07561146465,6.44433988888978,0.468817600620834,13.7459427298716,5.38667900644626e-43,5.44054579651072e-41
"AT4G37640",1120.53265637825,2.10344887256959,0.153236988846302,13.7267698119504,7.01939090471097e-43,7.05721228036193e-41
"AT1G63840",1314.02714540765,4.61729892644188,0.336533329937479,13.7201831607576,7.68709685198062e-43,7.69338629485951e-41
"AT4G08850",4934.59819544887,3.02482651545459,0.220476737387913,13.7194814804095,7.76185025311848e-43,7.73305062774492e-41
"AT5G46960",466.055724463129,8.12013138301597,0.592050198141743,13.7152751717717,8.22537371724275e-43,8.15794047325454e-41
"AT3G10500",520.086921060986,2.56928583936053,0.187459698906955,13.7058037239022,9.37237043328987e-43,9.25384987444738e-41
"AT2G21850",163.823340592079,3.31899635817465,0.242306950769228,13.6974872063643,1.05098897191619e-42,1.03306585641297e-40
"AT4G17720",1088.42703232733,2.12326829209128,0.155325328986651,13.6698135838087,1.53788656741705e-42,1.50494161961728e-40
"AT1G65510",271.822604547025,5.130531491574,0.375441903835242,13.6653139651281,1.63596644098652e-42,1.59383668573634e-40
"AT3G50770",2116.14509765188,5.65715371345858,0.414203980216369,13.6578931725944,1.81149263617616e-42,1.75706805565316e-40
